500, 0.015633
1000, 0.026903
1500, 0.054192
2000, 0.087033
2500, 0.131351
3000, 0.19033
3500, 0.258181
4000, 0.332728
4500, 0.421065
5000, 0.517712
5500, 0.658879
6000, 0.863756
6500, 0.97556
7000, 1.06814
7500, 1.21023
8000, 1.39687
8500, 1.62728
9000, 1.8008
9500, 1.94643
10000, 2.15833
10500, 2.28479
11000, 2.47876
11500, 2.74841
12000, 2.95987
12500, 3.26362
13000, 3.5255
13500, 3.8995
14000, 4.04953
14500, 4.33622
15000, 4.61496
15500, 4.93255
16000, 5.25429
16500, 5.58555
17000, 5.96728
17500, 6.27291
18000, 6.65608
18500, 7.05251
19000, 7.40912
19500, 7.78911
20000, 8.26392
20500, 8.61262
21000, 9.14969
21500, 10.2461
22000, 10.4537
22500, 10.4561
23000, 10.8931
23500, 11.5364
24000, 11.8222
24500, 12.3428
25000, 12.8401
25500, 13.3596
26000, 13.8566
26500, 14.4372
27000, 15.0008
27500, 15.5256
28000, 16.1004
28500, 16.6865
29000, 17.249
29500, 17.8614
30000, 18.4681
30500, 19.5193
31000, 21.122
31500, 20.378
32000, 20.9819
32500, 24.302
33000, 25.0637
33500, 25.8267
34000, 26.864
34500, 26.0168
35000, 27.2165
35500, 27.1406
36000, 29.4534
36000, 27.2283
46000, 44.5293
56000, 405.349
36000, 27.2401
37000, 28.9117
38000, 31.5357
39000, 33.0729
40000, 34.885
41000, 37.5861
42000, 39.1102
43000, 40.0442
44000, 41.8295
45000, 45.6025
46000, 45.8102
47000, 47.9736
48000, 49.8505
49000, 52.0673
