Tamaño, tiempo
10000,1410
20000,3011
30000,4739
40000,6572
50000,8624
60000,12019
70000,14371
80000,19532
90000,15119
100000,22318
150000,39981
200000,44026
250000,52397
300000,65718
350000,76456
400000,80497
450000,92421
500000,103807
