Tamaño, tiempo
10000,520
20000,1025
30000,1640
40000,2166
50000,2725
60000,3598
70000,4191
80000,4808
90000,5394
100000,6050
150000,9777
200000,13004
250000,18064
300000,21775
350000,25351
400000,28308
450000,34213
