2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,3
10,5
11,33
12,22
13,81
14,124
15,221
16,382
17,907
18,1503
19,2994
20,5666
21,11634
22,22746
23,45624
24,89452
25,181497
26,377978
27,679311
28,1.36084e+06
29,2.7312e+06
30,5.46001e+06
