Tamaño, tiempo
10000,1363
20000,2640
30000,4005
40000,5430
50000,6859
60000,8290
70000,9709
80000,11121
90000,12586
100000,14070
150000,21574
200000,29184
250000,36676
300000,44544
350000,52478
400000,60480
450000,68328
