Tamaño, tiempo
10000,3555
20000,35481
30000,12004
40000,16267
50000,20758
60000,25152
70000,29509
80000,34160
90000,38596
100000,43209
110000,76172
160000,71552
210000,95788
260000,121544
310000,148754
360000,177318
410000,206845
460000,237035
510000,267611
