Tamaño, tiempo
10000,362337
20000,1473414
30000,3418295
40000,6141664
50000,9717067
60000,14027483
70000,19270090
80000,25276298
90000,32149641
100000,39686379
150000,89709627
200000,159451927
250000,254785399
300000,395356148
350000,487944003
400000,637647155
450000,808212174
500000,998097891
