Tamaño, tiempo
10000,342112
20000,1.40028e+06
30000,3.20542e+06
40000,5.90264e+06
50000,9.31596e+06
60000,1.34521e+07
70000,1.85594e+07
80000,2.42812e+07
90000,3.07233e+07
100000,3.9369e+07
150000,8.57686e+07
200000,1.52319e+08
250000,2.37518e+08
300000,3.42181e+08
350000,4.6562e+08
400000,6.10923e+08
450000,7.74774e+08
500000,9.52589e+08
