2,0
3,0
4,0
5,1
6,2
7,4
8,9
9,20
10,44
11,77
12,98
13,95
14,123
15,215
16,409
17,809
18,1599
19,3206
20,6471
21,12848
22,25706
23,51597
24,102701
25,205380
26,418241
27,830756
28,1643592
29,3289696
