Tamaño, tiempo
10000,2867
20000,4519
30000,6173
40000,9636
50000,12680
60000,12662
70000,15114
80000,17337
90000,18355
100000,21021
150000,29617
200000,43257
250000,47679
300000,61565
350000,75556
400000,90742
450000,87620
500000,100344
