Tamaño, tiempo
10000,42727
20000,10680
30000,14407
40000,22169
50000,31639
60000,30398
70000,38161
80000,46242
90000,55348
100000,87808
150000,87438
200000,137528
250000,142595
300000,182649
350000,229392
400000,281902
450000,251545
500000,290986
