Tamaño, tiempo
10000,430500
20000,1684600
30000,38636000
40000,6988200
50000,11075300
60000,16331900
70000,21947700
80000,28768400
90000,36566700
100000,45207300
150000,102206800
200000,181726500
250000,285363600
300000,408416300
350000,556685800
400000,727965800
450000,919865200
