Tamaño, tiempo
10000,1501
20000,3067
30000,5006
40000,6445
50000,8965
60000,9305
70000,11452
80000,13677
90000,16088
100000,20398
150000,28494
200000,39433
250000,45211
300000,56668
350000,71679
400000,81630
450000,82928
500000,90725
